2025-06-18 10:13:01,053 - INFO - Creado estándar para producto 10210160723, proceso: 1020, máquina 1002
2025-06-18 10:13:01,055 - INFO - Creado estándar para producto 10210160723, proceso: 2150, máquina 1202
2025-06-18 10:13:01,058 - INFO - Creado estándar para producto 10210160723, proceso: 2395, máquina 1402
2025-06-18 10:13:01,061 - INFO - Creado estándar para producto 10210160723, proceso: 2320, máquina 1601
2025-06-18 10:13:01,064 - INFO - Creado estándar para producto 10210160723, proceso: 3060, máquina 2002
2025-06-18 10:13:01,067 - INFO - Creado estándar para producto 10210160723, proceso: 6090, máquina 6010
2025-06-18 10:13:01,069 - INFO - Creado estándar para producto 1021016088K, proceso: 1020, máquina 1002
2025-06-18 10:13:01,071 - INFO - Creado estándar para producto 1021016088K, proceso: 2150, máquina 1202
2025-06-18 10:13:01,073 - INFO - Creado estándar para producto 1021016088K, proceso: 2395, máquina 1402
2025-06-18 10:13:01,077 - INFO - Creado estándar para producto 1021016088K, proceso: 2320, máquina 1601
2025-06-18 10:13:01,080 - INFO - Creado estándar para producto 1021016088K, proceso: 3060, máquina 2002
2025-06-18 10:13:01,083 - INFO - Creado estándar para producto 1021016088K, proceso: 6130, máquina 6018
2025-06-18 10:13:01,086 - INFO - Creado estándar para producto 10210161045, proceso: 1020, máquina 1002
2025-06-18 10:13:01,088 - INFO - Creado estándar para producto 10210161045, proceso: 2150, máquina 1207
2025-06-18 10:13:01,090 - INFO - Creado estándar para producto 10210161045, proceso: 2395, máquina 1402
2025-06-18 10:13:01,093 - INFO - Creado estándar para producto 10210161045, proceso: 2320, máquina 1601
2025-06-18 10:13:01,098 - INFO - Creado estándar para producto 10210161045, proceso: 3060, máquina 2002
2025-06-18 10:13:01,101 - INFO - Creado estándar para producto 10210161045, proceso: 6090, máquina 6010
2025-06-18 10:13:01,104 - INFO - Creado estándar para producto 10210161207, proceso: 1020, máquina 1001
2025-06-18 10:13:01,107 - INFO - Creado estándar para producto 10210161207, proceso: 2150, máquina 1207
2025-06-18 10:13:01,111 - INFO - Creado estándar para producto 10210161207, proceso: 2395, máquina 1431
2025-06-18 10:13:01,114 - INFO - Creado estándar para producto 10210161207, proceso: 2320, máquina 1601
2025-06-18 10:13:01,116 - INFO - Creado estándar para producto 10210161207, proceso: 3060, máquina 2003
2025-06-18 10:13:01,120 - INFO - Creado estándar para producto 10210161207, proceso: 6090, máquina 6010
2025-06-18 10:13:01,122 - INFO - Creado estándar para producto 10210161282, proceso: 1020, máquina 1002
2025-06-18 10:13:01,125 - INFO - Creado estándar para producto 10210161282, proceso: 2150, máquina 1207
